PLAYER NAME,Ball Speed,Driving Distance,Approaches from > 100 yards,Eagles (Holes per),Putts Per Round,Birdie Average,Proximity to Hole,FedexCup Regular Season Points,Average Distance of Putts made,GIR Percentage from Fairway,Official Money,Bogey Average,Par 3 Scoring Average,Club Head Speed,Par 4 Scoring Average,Par 5 Scoring Average,Driving Accuracy Percentage,Scoring Average,Total Birdies,Total Eagles,Spin Rate,Top 10 Finishes,Sand Save Percentage,Scrambling,SG: Total,Smash Factor,Country,College
Patrick Reed (2017),171.98,295.6,"35' 4""",1800,28.32,3.75,"38' 6""",896,"74' 5""",74.88,"3,055,111",2.61,3.06,116.86,4.03,4.65,57.18,70.453,375,1,2776.5,4,51.09,61.23,0.976,1.472,USA,Augusta University
Patrick Reed (2018),173.5,298.1,"32' 10""",140.7,28.33,3.76,"37' 4""",1555,"71' 2""",77.07,"5,006,267",2.5,3.09,117.26,4,4.6,55.11,70.106,323,11,3008.6,7,56.68,62.94,0.947,1.479,USA,Augusta University
Patrick Reed (2019),172.52,296.8,"33' 11""",198,28.47,3.98,"37' 9""",774,"72' 10""",78.54,"3,593,844",2.34,3.04,116.79,3.98,4.57,60.1,70.208,350,8,2962.6,5,58.82,62.99,0.876,1.477,USA,Augusta University
Patrick Rodgers (2015),178.29,307.7,"32' 8""",238.5,28.98,3.91,"35' 8""",,"71' 2""",79.1,,2.6,3.07,120.08,4.01,4.62,56.97,70.619,207,4,2608.3,2,39.56,56.47,0.129,1.484,USA,Stanford University
Patrick Rodgers (2016),177.48,300.5,"32' 8""",117.7,29.75,3.64,"36' 9""",739,"71' 7""",79.45,"1,290,336",2.55,3.1,118.83,4.01,4.66,57.74,70.833,309,13,2437.4,3,42.15,58.17,0.311,1.493,USA,Stanford University
Patrick Rodgers (2017),180.12,306.3,"34' 5""",1332,29.85,3.3,"39' 0""",639,"72' 9""",78.24,"1,346,322",3.15,3.12,121.55,4.08,4.72,52.9,71.432,244,1,2665.2,3,39.82,53.63,-0.716,1.482,USA,Stanford University
Patrick Rodgers (2018),177.01,303.5,"33' 10""",239.1,29.1,3.69,"38' 6""",541,"74' 5""",79.07,"1,287,040",2.7,3.02,118.75,4.05,4.65,61.14,70.731,343,7,2731.1,3,51.72,57.22,0.232,1.49,USA,Stanford University
Patrick Rodgers (2019),178.55,299.8,"34' 9""",131.1,28.78,3.67,"38' 1""",459,"78' 3""",72.97,"1,046,838",2.8,3.08,120.23,4.04,4.61,57.24,71.365,187,7,2496,1,46.07,57.1,0.231,1.485,USA,Stanford University
Patton Kizzire (2016),168.88,291.3,"32' 1""",320.4,28.88,3.62,"36' 3""",760,"77' 4""",77.7,"1,468,624",2.78,3.06,113.15,4.07,4.65,55.23,70.921,322,5,2509.3,5,44.96,56.24,0.403,1.492,USA,"Auburn University  (2008, Business)"
Patton Kizzire (2017),169.46,293,"31' 4""",342,29.09,3.59,"35' 5""",519,"73' 7""",76.16,"1,110,395",2.89,3.04,113.48,4.08,4.78,52.54,71.598,273,4,2452.7,3,50,54.31,-0.578,1.493,USA,"Auburn University  (2008, Business)"
